Position, Time
20.38,9.62
19.93,9.63
19.48,9.64
19.02,9.65
18.57,9.66
18.11,9.67
17.65,9.68
17.19,9.69
16.73,9.70
16.27,9.71
15.81,9.72
15.35,9.73
14.89,9.74
14.42,9.75
13.96,9.76
13.49,9.77
13.02,9.78
12.55,9.79
12.08,9.80
11.61,9.81
11.14,9.82
10.67,9.83
10.20,9.84
9.72,9.85
9.25,9.86
8.77,9.87
8.29,9.88
7.82,9.89
7.34,9.90
6.86,9.91
6.37,9.92
5.89,9.93
5.41,9.94
4.93,9.95
4.44,9.96
3.95,9.97
3.47,9.98
2.98,9.99
2.49,10.00
2.00,10.01
1.51,10.02
1.02,10.03
0.52,10.04
0.03,10.05
-0.46,10.06
